Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score
2.0,733,2.0,2,1.0,1.0,0,1.0,4.37,0.0,1.0,96.0,3.55,71.2
2.0,737,4.0,2,2.0,0.0,0,2.0,7.45,1.0,1.0,121.0,3.81,71.39
2.0,900,3.0,2,1.0,2.0,1,2.0,6.16,3.0,1.0,100.0,1.34,31.46
1.0,2238,14.0,6,2.0,0.0,0,3.0,5.46,0.0,1.0,116.0,4.77,93.7
3.0,1185,3.0,3,1.0,0.0,0,2.0,5.69,0.0,1.0,91.0,4.49,82.94
0.0,1281,5.0,2,0.0,3.0,0,3.0,7.72,3.0,1.0,143.0,0.96,28.54
2.0,159,2.0,2,0.0,0.0,1,2.0,6.77,0.0,1.0,90.0,4.48,80.65
2.0,521,1.0,2,0.0,0.0,0,3.0,4.14,0.0,1.0,89.0,4.82,73.51
1.0,2164,13.0,4,0.0,1.0,0,1.0,6.09,0.0,1.0,105.0,3.53,87.91
3.0,1620,3.0,4,0.0,0.0,0,3.0,6.08,0.0,1.0,143.0,4.74,76.86
2.0,416,3.0,1,1.0,0.0,1,1.0,6.99,0.0,1.0,117.0,4.14,72.35
2.0,508,2.0,1,1.0,0.0,0,3.0,6.41,1.0,1.0,131.0,4.12,72.19
0.0,436,5.0,1,2.0,0.0,0,2.0,6.7,3.0,1.0,102.0,2.59,83.68
3.0,1735,5.0,3,1.0,0.0,1,1.0,6.47,2.0,1.0,164.0,2.82,77.28
2.0,781,4.0,2,2.0,0.0,0,3.0,6.51,0.0,1.0,101.0,4.79,84.58
0.0,941,5.0,3,1.0,0.0,0,2.0,5.19,0.0,1.0,100.0,4.48,81.38
2.0,441,2.0,1,2.0,0.0,0,3.0,6.74,0.0,1.0,112.0,4.77,85.51
3.0,1150,2.0,2,0.0,0.0,0,0.0,7.01,1.0,2.0,97.0,3.16,64.38
2.0,770,1.0,2,1.0,1.0,0,3.0,4.22,2.0,1.0,103.0,2.91,29.97
1.0,1809,9.0,5,1.0,0.0,0,3.0,8.31,0.0,2.0,133.0,4.67,80.07
1.0,3799,9.0,4,0.0,3.0,0,0.0,4.3,1.0,1.0,84.0,1.37,35.45
2.0,910,2.0,2,0.0,0.0,1,2.0,7.45,0.0,1.0,156.0,4.4,80.14
3.0,1476,5.0,2,1.0,1.0,0,3.0,7.05,0.0,1.0,140.0,4.11,79.99
2.0,886,2.0,2,0.0,1.0,0,3.0,7.27,0.0,1.0,112.0,4.14,85.08
2.0,358,3.0,3,2.0,0.0,0,0.0,7.56,0.0,1.0,148.0,3.78,73.99
1.0,2912,15.0,2,0.0,0.0,0,1.0,6.33,3.0,1.0,133.0,2.24,62.91
2.0,190,3.0,1,0.0,1.0,0,2.0,7.83,0.0,1.0,132.0,3.8,82.12
3.0,1622,3.0,1,0.0,0.0,0,3.0,8.3,1.0,2.0,161.0,4.01,83.17
2.0,247,1.0,2,1.0,2.0,0,2.0,6.02,0.0,1.0,83.0,3.24,48.46
4.0,264,2.0,2,1.0,0.0,1,1.0,6.29,0.0,1.0,117.0,4.14,78.87
3.0,1304,5.0,2,2.0,0.0,0,3.0,4.77,1.0,1.0,110.0,4.16,83.38
2.0,508,4.0,2,0.0,0.0,0,3.0,5.83,1.0,1.0,98.0,4.17,86.66
0.0,497,7.0,3,2.0,1.0,1,2.0,4.9,1.0,1.0,115.0,3.21,85.05
2.0,106,1.0,1,2.0,0.0,0,3.0,7.1,2.0,1.0,91.0,3.54,88.65
1.0,3493,4.0,2,1.0,0.0,0,1.0,6.71,0.0,1.0,130.0,4.12,82.66
